mu,alpha,sigma_inicial,replica,aptitud
50,1.15,3.0,2,1.8999591177430608
50,1.15,3.0,3,1.7824860490363825
50,1.15,3.0,4,1.7314670920019646
50,1.15,3.0,5,1.7352746776742172
50,1.15,3.0,6,1.7314704808544326
50,1.15,3.0,7,1.7929108348384348
50,1.15,3.0,8,1.7433740895003578
50,1.15,3.0,9,1.7439922334386864
50,1.2,0.05,0,1.8017279222462939
50,1.2,0.05,1,1.7378133794201478
50,1.2,0.05,2,1.7941707950696966
50,1.2,0.05,3,2.4000382851513598
50,1.2,0.05,4,1.7326569693151543
50,1.2,0.05,5,1.73475991496226
50,1.2,0.05,6,1.7362579478318316
50,1.2,0.05,7,2.005331447599163
50,1.2,0.05,8,1.7921165785355468
50,1.2,0.05,9,1.754542482216264
50,1.2,0.5,0,1.790555541173654
50,1.2,0.5,1,1.7394729421632094
50,1.2,0.5,2,1.935303290533511
50,1.2,0.5,3,2.029222274097081
50,1.2,0.5,4,1.9056084890158258
50,1.2,0.5,5,1.731753518028193
50,1.2,0.5,6,1.767814925913314
50,1.2,0.5,7,2.08862700672966
50,1.2,0.5,8,1.7977195109204345
50,1.2,0.5,9,1.735430611694449
50,1.2,1.5,0,1.735884240624534
50,1.2,1.5,1,1.7334529621461854
50,1.2,1.5,2,1.8879885475662446
50,1.2,1.5,3,1.8009277342048642
50,1.2,1.5,4,1.7802711091693564
50,1.2,1.5,5,1.7990567668105637
50,1.2,1.5,6,1.7949334967823078
50,1.2,1.5,7,2.0057261445422454
50,1.2,1.5,8,1.7397134006645922
50,1.2,1.5,9,1.8899171220464461
50,1.2,3.0,0,1.7338190610896307
50,1.2,3.0,1,1.7353492200918759
50,1.2,3.0,2,1.920518854247682
50,1.2,3.0,3,1.7351420266151623
50,1.2,3.0,4,1.7360178068284564
50,1.2,3.0,5,1.7345945263300684
50,1.2,3.0,6,1.9109629651603726
50,1.2,3.0,7,1.8279251310606388
50,1.2,3.0,8,1.8696111142888068
50,1.2,3.0,9,1.7356450608841087
100,1.05,0.05,0,1.8050124156576592
100,1.05,0.05,1,1.776072307996967
100,1.05,0.05,2,1.7331664274814331
100,1.05,0.05,3,1.7358468363390591
100,1.05,0.05,4,1.734776082805616
100,1.05,0.05,5,1.7329748075177882
100,1.05,0.05,6,1.729973602061375
100,1.05,0.05,7,1.9794055790456508
100,1.05,0.05,8,1.8816854055738188
100,1.05,0.05,9,1.8845812541597589
100,1.05,0.5,0,1.7386391766022586
100,1.05,0.5,1,1.7351843469778554
100,1.05,0.5,2,1.736595786078629
100,1.05,0.5,3,1.7315682386581501
100,1.05,0.5,4,1.7334433823870894
100,1.05,0.5,5,1.7347748589661165
100,1.05,0.5,6,1.734343725859458
100,1.05,0.5,7,1.7326097512692944
100,1.05,0.5,8,1.734839328277647
100,1.05,0.5,9,1.7339665579392645
100,1.05,1.5,0,1.7329359794806773
100,1.05,1.5,1,1.734603601003074
100,1.05,1.5,2,1.7327242676932106
100,1.05,1.5,3,1.7346064898619977
100,1.05,1.5,4,1.7349794607473132
100,1.05,1.5,5,1.7319312610101316
100,1.05,1.5,6,1.733698551899605
100,1.05,1.5,7,1.7353179328583834
100,1.05,1.5,8,1.7331826755717092
100,1.05,1.5,9,1.7335537433017678
100,1.05,3.0,0,1.7321006624308262
100,1.05,3.0,1,1.7342827064294581
100,1.05,3.0,2,1.7315643431206684
100,1.05,3.0,3,1.733528192202507
100,1.05,3.0,4,1.733165850396047
100,1.05,3.0,5,1.7359624288292885
100,1.05,3.0,6,1.734384852989868
100,1.05,3.0,7,1.7352486347138543
100,1.05,3.0,8,1.7346825827517534
100,1.05,3.0,9,1.7354589142141705
100,1.1,0.05,0,1.7815405561425557
100,1.1,0.05,1,1.829948276110985
100,1.1,0.05,2,1.7298354081455087
100,1.1,0.05,3,1.7350484847128151
100,1.1,0.05,4,1.7356597811753962
100,1.1,0.05,5,1.7322792440981738
100,1.1,0.05,6,1.7306799521554745
100,1.1,0.05,7,1.8440436359976409
100,1.1,0.05,8,1.9882097288579093
100,1.1,0.05,9,1.8754270134381275
100,1.1,0.5,0,1.7348457206395334
100,1.1,0.5,1,1.734072747358499
100,1.1,0.5,2,1.7353608162988996
100,1.1,0.5,3,1.733328420661841
100,1.1,0.5,4,1.7349158316038997
100,1.1,0.5,5,1.734644481220509
100,1.1,0.5,6,1.7363409509452714
100,1.1,0.5,7,1.7331554970410696
100,1.1,0.5,8,1.7302583050239757
100,1.1,0.5,9,1.7349345577090918
100,1.1,1.5,0,1.7328816164408936
100,1.1,1.5,1,1.7350384021728764
100,1.1,1.5,2,1.7318016241548921
100,1.1,1.5,3,1.7345643614700055
100,1.1,1.5,4,1.7335828853328414
100,1.1,1.5,5,1.7334660352907463
100,1.1,1.5,6,1.7335242217907143
100,1.1,1.5,7,1.7337993680539008
100,1.1,1.5,8,1.7347268701433607
100,1.1,1.5,9,1.739600329782013
100,1.1,3.0,0,1.7345382458908525
100,1.1,3.0,1,1.7353621410164413
100,1.1,3.0,2,1.7812996367005474
100,1.1,3.0,3,1.738090526820985
100,1.1,3.0,4,1.7345803468101506
100,1.1,3.0,5,1.7343091633649563
100,1.1,3.0,6,1.7324157632413781
100,1.1,3.0,7,1.7312956436793403
100,1.1,3.0,8,1.7340961590675326
100,1.1,3.0,9,1.7307388924346263
100,1.15,0.05,0,1.7848934345010954
100,1.15,0.05,1,1.8051516995283652
100,1.15,0.05,2,1.7338100992084724
100,1.15,0.05,3,1.7332483837713193
100,1.15,0.05,4,1.73306192678545
100,1.15,0.05,5,1.7323723726682707
100,1.15,0.05,6,1.7326858763093165
100,1.15,0.05,7,1.7320650593913949
100,1.15,0.05,8,1.9111453341708626
100,1.15,0.05,9,1.9001887919326768
100,1.15,0.5,0,1.7313543337232182
100,1.15,0.5,1,1.7413326383576821
100,1.15,0.5,2,1.7409310714652921
100,1.15,0.5,3,1.8125637220108204
100,1.15,0.5,4,1.7310913801206946
100,1.15,0.5,5,1.7841118474317708
100,1.15,0.5,6,1.9814102864266445
100,1.15,0.5,7,1.7988825322108426
100,1.15,0.5,8,1.7323297155032813
100,1.15,0.5,9,1.7334570131790907
100,1.15,1.5,0,1.7321527703651671
100,1.15,1.5,1,1.7324858266520513
100,1.15,1.5,2,1.9724242790330686
100,1.15,1.5,3,1.7314221699598762
100,1.15,1.5,4,1.932722424109714
100,1.15,1.5,5,1.736081277671372
100,1.15,1.5,6,1.8320245768694043
100,1.15,1.5,7,1.7634171003664991
100,1.15,1.5,8,1.7341949427712928
100,1.15,1.5,9,1.746125692781586
100,1.15,3.0,0,1.734993193176263
100,1.15,3.0,1,1.7337315382349463
100,1.15,3.0,2,1.7346689361913261
100,1.15,3.0,3,1.7328613646702247
100,1.15,3.0,4,1.7295057369625455
100,1.15,3.0,5,1.7314752890844054
100,1.15,3.0,6,1.7332002215744806
100,1.15,3.0,7,1.7331750937818262
100,1.15,3.0,8,1.8181971339506446
100,1.15,3.0,9,1.7409167182604015
100,1.2,0.05,0,1.7828591448678388
100,1.2,0.05,1,1.73552598624341
100,1.2,0.05,2,1.7332251858209322
100,1.2,0.05,3,1.7312867633714593
100,1.2,0.05,4,1.731564984630335
100,1.2,0.05,5,1.7324450683082184
100,1.2,0.05,6,1.7307876929400694
100,1.2,0.05,7,1.960411287598538
100,1.2,0.05,8,1.8057984986791182
100,1.2,0.05,9,1.8982881809581584
100,1.2,0.5,0,1.74295503729362
100,1.2,0.5,1,1.7627833291768897
100,1.2,0.5,2,1.7320603355256075
100,1.2,0.5,3,1.8502347967821655
100,1.2,0.5,4,1.738466874943096
100,1.2,0.5,5,1.823022908261072
100,1.2,0.5,6,1.7334109582178023
100,1.2,0.5,7,1.7793367225115906
100,1.2,0.5,8,1.819215588680441
100,1.2,0.5,9,1.7322863468201808
100,1.2,1.5,0,1.862933992004093
100,1.2,1.5,1,1.9042459520634443
100,1.2,1.5,2,1.7314173330807052
100,1.2,1.5,3,1.7309955722527388
100,1.2,1.5,4,1.9543157959160082
100,1.2,1.5,5,1.733298957005816
100,1.2,1.5,6,1.7339041012142526
100,1.2,1.5,7,1.7361379184660124
100,1.2,1.5,8,1.732240567185579
100,1.2,1.5,9,1.8729976280352294
100,1.2,3.0,0,1.7325657017827645
100,1.2,3.0,1,1.8626652116343987
100,1.2,3.0,2,1.8787718306025172
100,1.2,3.0,3,1.7835377905856558
100,1.2,3.0,4,1.8063979250337956
100,1.2,3.0,5,1.7337556161295447
100,1.2,3.0,6,1.762485879371486
100,1.2,3.0,7,1.7578708767947933
100,1.2,3.0,8,1.7335494620121985
100,1.2,3.0,9,1.8120860058842787
150,1.05,0.05,0,1.7700124055638056
150,1.05,0.05,1,1.7930566136861688
150,1.05,0.05,2,1.7328164143376588
150,1.05,0.05,3,1.7349913035904898
150,1.05,0.05,4,1.7325340646370406
150,1.05,0.05,5,1.7320535460969089
150,1.05,0.05,6,1.7328239588003425
150,1.05,0.05,7,1.9544411267087016
150,1.05,0.05,8,1.7760819219055357
150,1.05,0.05,9,1.7447365133337647
150,1.05,0.5,0,1.73463073694284
150,1.05,0.5,1,1.734813398758465
150,1.05,0.5,2,1.7375558487177234
150,1.05,0.5,3,1.7331153718170056
150,1.05,0.5,4,1.735397838156906
150,1.05,0.5,5,1.7299697721374119
150,1.05,0.5,6,1.7323723369101949
150,1.05,0.5,7,1.73073504487522
150,1.05,0.5,8,1.734961566050986
150,1.05,0.5,9,1.7332067296646705
150,1.05,1.5,0,1.7323788375284197
150,1.05,1.5,1,1.734363085580196
150,1.05,1.5,2,1.7321899981831212
150,1.05,1.5,3,1.7308536780488872
150,1.05,1.5,4,1.734569909581944
150,1.05,1.5,5,1.732553526065915
150,1.05,1.5,6,1.7310434217969197
150,1.05,1.5,7,1.734407201007536
150,1.05,1.5,8,1.7356237747363872
150,1.05,1.5,9,1.732490811376869
150,1.05,3.0,0,1.7347632079608548
150,1.05,3.0,1,1.7324953079977714
150,1.05,3.0,2,1.7349149537158504
150,1.05,3.0,3,1.7345867633157093
150,1.05,3.0,4,1.7348181014424529
150,1.05,3.0,5,1.7319053868941623
150,1.05,3.0,6,1.734521598976858
150,1.05,3.0,7,1.734901365348132
150,1.05,3.0,8,1.7332967215439403
150,1.05,3.0,9,1.7350588360577368
150,1.1,0.05,0,1.7587992674766797
150,1.1,0.05,1,1.8046647560570919
150,1.1,0.05,2,1.7314740856205006
150,1.1,0.05,3,1.7343710641890897
150,1.1,0.05,4,1.7265889895454147
150,1.1,0.05,5,1.7302773349968432
150,1.1,0.05,6,1.731565844296283
150,1.1,0.05,7,1.9489576274499083
150,1.1,0.05,8,1.757601177301845
150,1.1,0.05,9,1.8781430270747257
150,1.1,0.5,0,1.741393085113263
150,1.1,0.5,1,1.7309342374065455
150,1.1,0.5,2,1.7307598216562203
150,1.1,0.5,3,1.7333402884752158
150,1.1,0.5,4,1.7290244615808656
150,1.1,0.5,5,1.729856013398779
150,1.1,0.5,6,1.7320274014112473
150,1.1,0.5,7,1.7364063994960182
150,1.1,0.5,8,1.8201061620399088
150,1.1,0.5,9,1.7334132017978598
150,1.1,1.5,0,1.7334355696510677
150,1.1,1.5,1,1.7341717444994216
150,1.1,1.5,2,1.7312127873407985
150,1.1,1.5,3,1.7309536143096105
150,1.1,1.5,4,1.7309680372965517
150,1.1,1.5,5,1.733867926673884
150,1.1,1.5,6,1.73376631109172
150,1.1,1.5,7,1.7326942628964068
150,1.1,1.5,8,1.7336988876877755
150,1.1,1.5,9,1.733594613139812
150,1.1,3.0,0,1.7317677518336732
150,1.1,3.0,1,1.7327055868995331
150,1.1,3.0,2,1.7340474658993474
150,1.1,3.0,3,1.7323557602895236
150,1.1,3.0,4,1.7322726362061553
150,1.1,3.0,5,1.7346488328047998
150,1.1,3.0,6,1.7334956639158006
150,1.1,3.0,7,1.7337076617884406
150,1.1,3.0,8,1.735442363449279
150,1.1,3.0,9,1.7331629996525426
150,1.15,0.05,0,1.7355376287965538
150,1.15,0.05,1,1.7774412350762723
150,1.15,0.05,2,1.733597900802586
150,1.15,0.05,3,1.7338577097096088
150,1.15,0.05,4,1.7290811683586387
150,1.15,0.05,5,1.7327457527520809
150,1.15,0.05,6,1.7304371677650283
150,1.15,0.05,7,1.9617309800036158
150,1.15,0.05,8,1.7819076301002827
150,1.15,0.05,9,1.8913948344415235
150,1.15,0.5,0,1.7349674824534702
150,1.15,0.5,1,1.7306644828710174
150,1.15,0.5,2,1.897986168689675
150,1.15,0.5,3,1.7330356846273482
150,1.15,0.5,4,1.7932182727594297
150,1.15,0.5,5,1.7383822839233203
150,1.15,0.5,6,1.7298551664909572
150,1.15,0.5,7,1.7679907364381702
150,1.15,0.5,8,1.7321056659735408
150,1.15,0.5,9,1.73526637452622
150,1.15,1.5,0,1.7395699214902023
150,1.15,1.5,1,1.7336157524006115
150,1.15,1.5,2,1.7382497183089933
150,1.15,1.5,3,1.7532202191505855
150,1.15,1.5,4,1.7314302142827367
150,1.15,1.5,5,1.7322588499517175
150,1.15,1.5,6,1.7321554835029478
150,1.15,1.5,7,1.7309685677226345
150,1.15,1.5,8,1.730004878809669
150,1.15,1.5,9,1.73407415175603
150,1.15,3.0,0,1.7321307854603554
150,1.15,3.0,1,1.733763864901694
150,1.15,3.0,2,1.7351783927844435
150,1.15,3.0,3,1.7332207191596465
150,1.15,3.0,4,1.7322390608027045
150,1.15,3.0,5,1.7322790176466762
150,1.15,3.0,6,1.7348289485839152
150,1.15,3.0,7,1.733583515749969
150,1.15,3.0,8,1.735585173639629
150,1.15,3.0,9,1.7331935274162957
150,1.2,0.05,0,1.7756353975565582
150,1.2,0.05,1,1.803466891624959
150,1.2,0.05,2,1.7304304238437247
150,1.2,0.05,3,1.730208795744946
150,1.2,0.05,4,1.7319750976993042
150,1.2,0.05,5,1.7330351017902281
150,1.2,0.05,6,1.7321298008168293
150,1.2,0.05,7,1.831428282748844
150,1.2,0.05,8,1.7424049266273915
150,1.2,0.05,9,1.8950055191768391
150,1.2,0.5,0,1.7330237687951386
150,1.2,0.5,1,1.8069631006521873
150,1.2,0.5,2,1.7344927419552287
150,1.2,0.5,3,1.72762275934189
150,1.2,0.5,4,1.7549356382864552
150,1.2,0.5,5,1.7335754861860677
150,1.2,0.5,6,1.7343048473329912
150,1.2,0.5,7,1.7339687212204486
150,1.2,0.5,8,1.7514569982554709
150,1.2,0.5,9,1.7308999531748497
150,1.2,1.5,0,1.7302221637678468
150,1.2,1.5,1,1.7516817210375712
150,1.2,1.5,2,1.867334347556312
150,1.2,1.5,3,1.7312134336286849
150,1.2,1.5,4,1.7354617147377545
150,1.2,1.5,5,1.8002429490899605
150,1.2,1.5,6,1.7448871717806913
150,1.2,1.5,7,1.7322261080305446
150,1.2,1.5,8,1.7759649022065607
150,1.2,1.5,9,1.7328346192643278
150,1.2,3.0,0,1.7400580844550977
150,1.2,3.0,1,1.760916854440593
150,1.2,3.0,2,1.7323769916556329
150,1.2,3.0,3,1.7320165672513435
150,1.2,3.0,4,1.7546024617366265
150,1.2,3.0,5,1.7319966042856305
150,1.2,3.0,6,1.7302699921947118
150,1.2,3.0,7,1.7786611429158754
150,1.2,3.0,8,1.744575554290128
150,1.2,3.0,9,1.735877478106722
